FPrate,Sensivity,Precision,f1_score,Threshold
0.40932,0.55208,0.89220,0.68209,0.56834
0.41010,0.55233,0.89206,0.68224,0.56824
0.41089,0.55258,0.89192,0.68239,0.56814
0.41168,0.55285,0.89178,0.68255,0.56803
0.41247,0.55310,0.89164,0.68270,0.56793
0.41325,0.55337,0.89150,0.68287,0.56782
0.41404,0.55362,0.89136,0.68302,0.56772
0.41483,0.55389,0.89122,0.68318,0.56761
0.41562,0.55413,0.89108,0.68332,0.56752
0.41640,0.55437,0.89094,0.68347,0.56743
0.41719,0.55465,0.89080,0.68364,0.56732
0.41798,0.55489,0.89066,0.68378,0.56723
0.41877,0.55516,0.89053,0.68395,0.56712
0.41955,0.55542,0.89039,0.68410,0.56702
0.42034,0.55569,0.89025,0.68426,0.56691
0.42113,0.55592,0.89011,0.68440,0.56682
0.42192,0.55616,0.88997,0.68454,0.56673
0.42270,0.55641,0.88983,0.68469,0.56663
0.42349,0.55664,0.88969,0.68482,0.56654
0.42428,0.55689,0.88955,0.68497,0.56644
0.42507,0.55713,0.88941,0.68511,0.56635
0.42586,0.55740,0.88928,0.68527,0.56624
0.42664,0.55765,0.88914,0.68542,0.56615
0.42743,0.55789,0.88900,0.68556,0.56606
0.42822,0.55815,0.88886,0.68571,0.56596
0.42901,0.55839,0.88873,0.68586,0.56586
0.42979,0.55864,0.88859,0.68600,0.56577
0.43058,0.55888,0.88845,0.68614,0.56567
0.43137,0.55914,0.88831,0.68630,0.56557
0.43216,0.55938,0.88818,0.68644,0.56547
0.43294,0.55962,0.88804,0.68658,0.56538
0.43373,0.55989,0.88790,0.68674,0.56528
0.43452,0.56013,0.88777,0.68688,0.56519
0.43531,0.56041,0.88764,0.68705,0.56508
0.43609,0.56066,0.88750,0.68720,0.56498
0.43688,0.56093,0.88737,0.68736,0.56488
0.43767,0.56117,0.88723,0.68750,0.56478
0.43846,0.56142,0.88710,0.68765,0.56469
0.43924,0.56169,0.88696,0.68781,0.56459
0.44003,0.56194,0.88683,0.68796,0.56449
0.44082,0.56222,0.88670,0.68812,0.56439
0.44161,0.56247,0.88656,0.68827,0.56429
0.44239,0.56273,0.88643,0.68843,0.56419
0.44318,0.56299,0.88630,0.68858,0.56410
0.44397,0.56324,0.88616,0.68873,0.56400
0.44476,0.56350,0.88603,0.68889,0.56390
0.44554,0.56374,0.88590,0.68902,0.56381
0.44633,0.56400,0.88577,0.68918,0.56371
0.44712,0.56424,0.88563,0.68932,0.56362
0.44791,0.56450,0.88550,0.68947,0.56352
0.44869,0.56474,0.88536,0.68961,0.56343
0.44948,0.56499,0.88523,0.68975,0.56334
0.45027,0.56524,0.88510,0.68990,0.56324
0.45106,0.56548,0.88496,0.69003,0.56315
0.45185,0.56573,0.88483,0.69019,0.56305
0.45263,0.56597,0.88470,0.69032,0.56296
0.45342,0.56621,0.88456,0.69046,0.56287
0.45421,0.56645,0.88443,0.69059,0.56278
0.45500,0.56668,0.88429,0.69073,0.56269
0.45578,0.56694,0.88416,0.69088,0.56259
0.45657,0.56719,0.88403,0.69102,0.56250
0.45736,0.56746,0.88390,0.69118,0.56239
0.45815,0.56770,0.88377,0.69132,0.56230
0.45893,0.56797,0.88364,0.69148,0.56220
0.45972,0.56822,0.88351,0.69162,0.56210
0.46051,0.56846,0.88338,0.69176,0.56201
0.46130,0.56873,0.88325,0.69192,0.56191
0.46208,0.56897,0.88312,0.69206,0.56182
0.46287,0.56924,0.88299,0.69222,0.56172
0.46366,0.56948,0.88286,0.69236,0.56163
0.46445,0.56975,0.88273,0.69252,0.56153
0.46523,0.57000,0.88260,0.69266,0.56144
0.46602,0.57024,0.88247,0.69281,0.56135
0.46681,0.57051,0.88235,0.69296,0.56125
0.46760,0.57075,0.88221,0.69310,0.56116
0.46838,0.57102,0.88209,0.69326,0.56106
0.46917,0.57127,0.88196,0.69340,0.56097
0.46996,0.57154,0.88183,0.69356,0.56087
0.47075,0.57178,0.88170,0.69370,0.56078
0.47153,0.57203,0.88157,0.69384,0.56069
0.47232,0.57228,0.88144,0.69398,0.56060
0.47311,0.57251,0.88131,0.69412,0.56051
0.47390,0.57277,0.88119,0.69427,0.56042
0.47468,0.57300,0.88105,0.69440,0.56033
0.47547,0.57326,0.88093,0.69455,0.56023
0.47626,0.57351,0.88080,0.69469,0.56014
0.47705,0.57377,0.88067,0.69484,0.56005
0.47784,0.57402,0.88055,0.69499,0.55996
0.47862,0.57427,0.88042,0.69513,0.55987
0.47941,0.57453,0.88029,0.69528,0.55977
0.48020,0.57477,0.88016,0.69542,0.55968
0.48099,0.57503,0.88004,0.69557,0.55959
0.48177,0.57528,0.87991,0.69571,0.55949
0.48256,0.57553,0.87978,0.69585,0.55940
0.48335,0.57579,0.87966,0.69601,0.55930
0.48414,0.57605,0.87953,0.69615,0.55921
0.48492,0.57632,0.87941,0.69631,0.55911
0.48571,0.57657,0.87929,0.69646,0.55902
0.48650,0.57684,0.87916,0.69661,0.55892
0.48729,0.57708,0.87904,0.69675,0.55883
0.48807,0.57733,0.87891,0.69689,0.55874
0.48886,0.57757,0.87878,0.69703,0.55865
0.48965,0.57782,0.87866,0.69717,0.55856
0.49044,0.57808,0.87853,0.69732,0.55846
0.49122,0.57832,0.87841,0.69746,0.55837
0.49201,0.57858,0.87828,0.69760,0.55828
0.49280,0.57882,0.87816,0.69774,0.55819
0.49359,0.57907,0.87803,0.69788,0.55809
0.49437,0.57933,0.87791,0.69803,0.55800
0.49516,0.57958,0.87779,0.69817,0.55791
0.49595,0.57985,0.87766,0.69833,0.55782
0.49674,0.58009,0.87754,0.69847,0.55773
0.49752,0.58036,0.87742,0.69862,0.55763
0.49831,0.58060,0.87729,0.69876,0.55755
0.49910,0.58087,0.87717,0.69891,0.55745
0.49989,0.58112,0.87705,0.69905,0.55736
0.50068,0.58137,0.87693,0.69920,0.55727
0.50146,0.58164,0.87681,0.69935,0.55718
0.50225,0.58189,0.87668,0.69950,0.55709
0.50304,0.58216,0.87656,0.69965,0.55699
0.50383,0.58241,0.87644,0.69979,0.55690
0.50461,0.58268,0.87632,0.69995,0.55680
0.50540,0.58293,0.87620,0.70009,0.55671
0.50619,0.58318,0.87607,0.70023,0.55662
0.50698,0.58346,0.87596,0.70040,0.55652
0.50776,0.58370,0.87583,0.70053,0.55643
0.50855,0.58396,0.87572,0.70068,0.55633
0.50934,0.58421,0.87559,0.70082,0.55624
0.51013,0.58448,0.87547,0.70097,0.55615
0.51091,0.58473,0.87535,0.70112,0.55606
0.51170,0.58498,0.87523,0.70126,0.55597
0.51249,0.58525,0.87511,0.70142,0.55588
0.51328,0.58551,0.87499,0.70156,0.55579
0.51406,0.58577,0.87487,0.70171,0.55570
0.51485,0.58603,0.87476,0.70186,0.55561
0.51564,0.58630,0.87464,0.70202,0.55552
0.51643,0.58657,0.87452,0.70217,0.55543
0.51721,0.58683,0.87440,0.70232,0.55534
0.51800,0.58710,0.87429,0.70248,0.55524
0.51879,0.58736,0.87417,0.70263,0.55515
0.51958,0.58765,0.87405,0.70279,0.55505
0.52036,0.58790,0.87394,0.70294,0.55496
0.52115,0.58819,0.87382,0.70310,0.55486
0.52194,0.58845,0.87370,0.70325,0.55478
0.52273,0.58871,0.87359,0.70340,0.55469
0.52351,0.58898,0.87347,0.70356,0.55460
0.52430,0.58924,0.87335,0.70370,0.55451
0.52509,0.58952,0.87324,0.70386,0.55441
0.52588,0.58977,0.87312,0.70400,0.55433
0.52667,0.59002,0.87300,0.70415,0.55424
0.52745,0.59028,0.87288,0.70429,0.55416
0.52824,0.59053,0.87277,0.70443,0.55407
0.52903,0.59079,0.87265,0.70458,0.55398
0.52982,0.59104,0.87253,0.70472,0.55390
0.53060,0.59132,0.87242,0.70488,0.55381
0.53139,0.59158,0.87230,0.70502,0.55372
0.53218,0.59184,0.87219,0.70517,0.55363
0.53297,0.59210,0.87207,0.70532,0.55355
0.53375,0.59235,0.87195,0.70546,0.55346
0.53454,0.59262,0.87184,0.70561,0.55337
0.53533,0.59288,0.87172,0.70576,0.55328
0.53612,0.59317,0.87161,0.70592,0.55318
0.53690,0.59343,0.87150,0.70607,0.55309
0.53769,0.59369,0.87138,0.70622,0.55300
0.53848,0.59396,0.87127,0.70637,0.55292
0.53927,0.59422,0.87116,0.70652,0.55283
0.54005,0.59449,0.87104,0.70667,0.55274
0.54084,0.59475,0.87093,0.70682,0.55265
0.54163,0.59502,0.87082,0.70698,0.55256
0.54242,0.59529,0.87070,0.70712,0.55247
0.54320,0.59556,0.87059,0.70728,0.55238
0.54399,0.59583,0.87048,0.70743,0.55229
0.54478,0.59610,0.87037,0.70758,0.55220
0.54557,0.59636,0.87025,0.70773,0.55211
0.54635,0.59663,0.87014,0.70789,0.55202
0.54714,0.59691,0.87003,0.70804,0.55192
0.54793,0.59718,0.86992,0.70820,0.55184
0.54872,0.59747,0.86981,0.70837,0.55174
0.54950,0.59773,0.86970,0.70851,0.55165
0.55029,0.59800,0.86959,0.70866,0.55157
0.55108,0.59827,0.86948,0.70881,0.55148
0.55187,0.59853,0.86936,0.70896,0.55139
0.55266,0.59881,0.86926,0.70912,0.55130
0.55344,0.59909,0.86915,0.70928,0.55122
0.55423,0.59938,0.86904,0.70945,0.55112
0.55502,0.59966,0.86893,0.70961,0.55103
0.55581,0.59993,0.86882,0.70976,0.55095
0.55659,0.60022,0.86872,0.70993,0.55085
0.55738,0.60049,0.86860,0.71008,0.55077
0.55817,0.60076,0.86850,0.71024,0.55068
0.55896,0.60102,0.86838,0.71038,0.55059
0.55974,0.60130,0.86828,0.71054,0.55050
0.56053,0.60157,0.86817,0.71069,0.55041
0.56132,0.60183,0.86806,0.71084,0.55032
0.56211,0.60210,0.86795,0.71098,0.55024
