FPrate,Sensivity,Precision,f1_score,Threshold
0.44633,0.53844,0.82875,0.65277,0.69385
0.44712,0.53866,0.82856,0.65288,0.69377
0.44791,0.53890,0.82838,0.65300,0.69367
0.44869,0.53912,0.82818,0.65310,0.69358
0.44948,0.53936,0.82800,0.65322,0.69348
0.45027,0.53957,0.82780,0.65331,0.69339
0.45106,0.53982,0.82762,0.65343,0.69330
0.45185,0.54003,0.82743,0.65353,0.69321
0.45263,0.54024,0.82723,0.65362,0.69312
0.45342,0.54048,0.82705,0.65373,0.69302
0.45421,0.54067,0.82685,0.65382,0.69294
0.45500,0.54090,0.82666,0.65392,0.69285
0.45578,0.54109,0.82647,0.65400,0.69276
0.45657,0.54131,0.82628,0.65410,0.69267
0.45736,0.54152,0.82608,0.65420,0.69258
0.45815,0.54173,0.82589,0.65429,0.69250
0.45893,0.54195,0.82571,0.65439,0.69240
0.45972,0.54216,0.82551,0.65448,0.69231
0.46051,0.54239,0.82533,0.65460,0.69221
0.46130,0.54260,0.82514,0.65469,0.69213
0.46208,0.54282,0.82495,0.65479,0.69203
0.46287,0.54302,0.82476,0.65487,0.69194
0.46366,0.54325,0.82457,0.65498,0.69185
0.46445,0.54344,0.82438,0.65506,0.69176
0.46523,0.54364,0.82418,0.65514,0.69167
0.46602,0.54386,0.82400,0.65524,0.69158
0.46681,0.54406,0.82381,0.65533,0.69150
0.46760,0.54430,0.82363,0.65544,0.69140
0.46838,0.54449,0.82343,0.65552,0.69131
0.46917,0.54472,0.82325,0.65563,0.69121
0.46996,0.54492,0.82306,0.65571,0.69112
0.47075,0.54512,0.82287,0.65580,0.69103
0.47153,0.54534,0.82268,0.65590,0.69093
0.47232,0.54554,0.82249,0.65598,0.69084
0.47311,0.54577,0.82231,0.65609,0.69074
0.47390,0.54599,0.82213,0.65619,0.69065
0.47468,0.54625,0.82195,0.65633,0.69054
0.47547,0.54645,0.82177,0.65641,0.69045
0.47626,0.54666,0.82158,0.65650,0.69036
0.47705,0.54690,0.82140,0.65661,0.69026
0.47784,0.54709,0.82121,0.65670,0.69017
0.47862,0.54732,0.82103,0.65680,0.69007
0.47941,0.54753,0.82085,0.65689,0.68998
0.48020,0.54778,0.82067,0.65702,0.68987
